Report ID,Title,Year,URL
1,Liability Of The State In Torts.,1956,http://lawcommissionofindia.nic.in/1-50/Report1.pdf
2,Parliamentary Legislation Relating To Sales Tax.,1956,http://lawcommissionofindia.nic.in/1-50/Report2.pdf
3,"Limitation Act, 1908",1956,http://lawcommissionofindia.nic.in/1-50/Report3.pdf
4,On The Proposal That High Courts Should Sit In Benches At Different Places In A State.,1956,http://lawcommissionofindia.nic.in/1-50/Report4.pdf
5,British Statutes Applicable To India.,1957,http://lawcommissionofindia.nic.in/1-50/Report5.pdf
6,"Registration Act, 1908",1957,http://lawcommissionofindia.nic.in/1-50/Report6.pdf
7,"Partnership Act, 1932",1957,http://lawcommissionofindia.nic.in/1-50/Report7.pdf
8,"Sale Of Goods Act, 1930",1958,http://lawcommissionofindia.nic.in/1-50/Report8.pdf
9,"Specific Relief Act, 1877",1958,http://lawcommissionofindia.nic.in/1-50/Report9.pdf
10,Law Of Acquisition And Requisitioning Of Land.,1958,http://lawcommissionofindia.nic.in/1-50/Report10.pdf
11,"Negotiable Instruments Act, 1881",1958,http://lawcommissionofindia.nic.in/1-50/Report11.pdf
12,"Income Tax Act, 1922",1958,http://lawcommissionofindia.nic.in/1-50/Report12.pdf
13,"Contract Act, 1872",1958,http://lawcommissionofindia.nic.in/1-50/Report13.pdf
14,Reform Of Judicial Administration.,1958,http://lawcommissionofindia.nic.in/1-50/Report14Vol1.pdf
15,Law Relating To Marriage And Divorce Amongst Christians In India.,1960,http://lawcommissionofindia.nic.in/1-50/Report15.pdf
16,"Official Trustees Act, 1913.",1960,http://lawcommissionofindia.nic.in/1-50/Report16.pdf
17,"Report On Trusts Act, 1882.",1961,http://lawcommissionofindia.nic.in/1-50/Report17.pdf
18,"Converts’ Marriage Dissolution Act, 1866.",1961,http://lawcommissionofindia.nic.in/1-50/Report18.pdf
19,"The Administrator-General's Act, 1913.",1961,http://lawcommissionofindia.nic.in/1-50/Report19.pdf
20,The Law Of Hire-Purchase,1961,http://lawcommissionofindia.nic.in/1-50/Report20.pdf
21,Marine Insurance,1961,http://lawcommissionofindia.nic.in/1-50/Report21.pdf
22,"Christian Marriage And Matrimonial Causes Bill,1961",1961,http://lawcommissionofindia.nic.in/1-50/Report22.pdf
23,Law Of Foreign Marriages.,1962,http://lawcommissionofindia.nic.in/1-50/Report23.pdf
24,"The Commission Of Inquiry Act, 1952",1962,http://lawcommissionofindia.nic.in/1-50/Report24.pdf
25,"Evidence Of Officers About Forged Stamps, Currency Notes, Etc. Section 509-A Cr.p.c. As Proposed.",1963,http://lawcommissionofindia.nic.in/1-50/Report25.pdf
26,Insolvency Laws,1964,http://lawcommissionofindia.nic.in/1-50/Report26.pdf
27,"The Code Of Civil Procedure, 1908.",1964,http://lawcommissionofindia.nic.in/1-50/Report27.pdf
28,"The Indian Oaths Act, 1873.",1964,http://lawcommissionofindia.nic.in/1-50/Report28.pdf
29,Proposal To Include Certain Social And Economic Offences In The Indian Penal Code,1966,http://lawcommissionofindia.nic.in/1-50/Report29.pdf
30,"Section 5 Of The Central Sales Tax Act, 1956, Taxation By The States Of Sales In The Course Of Import.",1967,http://lawcommissionofindia.nic.in/1-50/Report30.pdf
31,"Section 30(2) Of The Indian Registration Act, 1908-Extension To Delhi.",1967,http://lawcommissionofindia.nic.in/1-50/Report31.pdf
32,"Section 9 Of The Code Of Criminal Procedure, 1898-Appointment Of Sessions Judges, Additional Session Judges And Assistant Sessions Judges.",1967,http://lawcommissionofindia.nic.in/1-50/Report32.pdf
33,"Section 44, Code Of Criminal Procedure, 1898.",1967,http://lawcommissionofindia.nic.in/1-50/Report33.pdf
34,"Indian Registration Act, 1908.",1967,http://lawcommissionofindia.nic.in/1-50/Report34.pdf
35,Capital Punishment.,1967,http://lawcommissionofindia.nic.in/1-50/Report35Vol1and3.pdf
36,"Sections 497, 498 And 499 Of The Code Of Criminal Procedure, 1898-Grant Of Bail With Condition.",1967,http://lawcommissionofindia.nic.in/1-50/Report36.pdf
37,"The Code Of Criminal Procedure, 1898 (Sections 1 To 176).",1967,http://lawcommissionofindia.nic.in/1-50/Report37.pdf
38,"Indian Post Office Act, 1898.",1968,http://lawcommissionofindia.nic.in/1-50/Report38.pdf
39,Punishment Of Imprisonment For Life Under The Indian Penal Code.,1968,http://lawcommissionofindia.nic.in/1-50/Report39.pdf
40,Law Relating To Attendance Of Prisoners In Courts.,1969,http://lawcommissionofindia.nic.in/1-50/Report40.pdf
41,"The Code Of Criminal Procedure, 1898.",1969,http://lawcommissionofindia.nic.in/1-50/Report41.pdf
42,Indian Penal Code.,1971,http://lawcommissionofindia.nic.in/1-50/Report42.pdf
43,Offences Against The National Security.,1971,http://lawcommissionofindia.nic.in/1-50/Report43.pdf
44,The Appellate Jurisdiction Of The Supreme Court In Civil Matters.,1971,http://lawcommissionofindia.nic.in/1-50/Report44.pdf
45,Civil Appeals To The Supreme Court On A Certificate Of Fitness.,1971,http://lawcommissionofindia.nic.in/1-50/Report45.pdf
46,"The Constitution (Twenty-Fifth Amendment) Bill,1971.",1971,http://lawcommissionofindia.nic.in/1-50/Report46.pdf
47,The Trial And Punishment Of Social And Economic Offences.,1972,http://lawcommissionofindia.nic.in/1-50/Report47.pdf
48,"Some Questions Under The Code Of Criminal Procedure Bill, 1970.",1972,http://lawcommissionofindia.nic.in/1-50/Report48.pdf
49,"The Proposal For Inclusion Of Agricultural Income In The Total Income For The Purpose Of Determining The Rate Of Tax Under The Income-Tax Act, 1961.",1972,http://lawcommissionofindia.nic.in/1-50/Report49.pdf
50,"The Proposal To Include Persons Connected With Public Examination Within The Definition Of ""Public Servant"" In The Indian Penal Code.",1972,http://lawcommissionofindia.nic.in/1-50/Report50.pdf
51,Compensation For Injuries Caused By Automobiles In Hit-And-Run Cases.,1972,http://lawcommissionofindia.nic.in/51-100/Report51.pdf
52,Estate Duty On Property Acquired After Death.,1972,http://lawcommissionofindia.nic.in/51-100/Report52.pdf
53,"Effect Of The Pensions Act, 1871 On The Right To Sue For Pensions Of Retired Members Of The Public Services.",1972,http://lawcommissionofindia.nic.in/51-100/Report53.pdf
54,"The Code Of Civil Procedure, 1908.",1973,http://lawcommissionofindia.nic.in/51-100/Report54.pdf
55,"Rate Of Interest After Decree And Interest On Costs Under Sections 34 And 35, Of The Code Of Civil Procedure, 1908.",1973,http://lawcommissionofindia.nic.in/51-100/Report55.pdf
56,"Statutory Provisions As To Notice Of Suit Other Than Section 80, Civil Procedure Code.",1973,http://lawcommissionofindia.nic.in/51-100/Report56.pdf
57,Benami Transactions.,1973,http://lawcommissionofindia.nic.in/51-100/Report57.pdf
58,Structure And Jurisdiction Of The Higher Judiciary.,1974,http://lawcommissionofindia.nic.in/51-100/Report58.pdf
59,"Hindu Marriage Act, 1955 And Special Marriage Act, 1954.",1974,http://lawcommissionofindia.nic.in/51-100/Report59.pdf
60,"The General Clauses Act, 1897.",1974,http://lawcommissionofindia.nic.in/51-100/Report60.pdf
61,"Certain Problems Connected With Power Of The States To Levy A Tax On The Sale Of Goods And With The Central Sales Tax Act, 1956.",1974,http://lawcommissionofindia.nic.in/51-100/Report61.pdf
62,"Workmen's Compensation Act, 1923.",1974,http://lawcommissionofindia.nic.in/51-100/Report62.pdf
63,"The Interest Act, 1839.",1975,http://lawcommissionofindia.nic.in/51-100/Report63.pdf
64,"The Suppression Of Immoral Traffic In Women And Girls Act, 1956.",1975,http://lawcommissionofindia.nic.in/51-100/Report64.pdf
65,Recognition Of Foreign Divorces,1976,http://lawcommissionofindia.nic.in/51-100/Report65.pdf
66,"Married Women's Property Act, 1874.",1976,http://lawcommissionofindia.nic.in/51-100/Report66.pdf
67,"The Indian Stamp Act, 1899.",1977,http://lawcommissionofindia.nic.in/51-100/Report67.pdf
68,"The Powers Of Attorney Act, 1882",1977,http://lawcommissionofindia.nic.in/51-100/Report68.pdf
69,"The Indian Evidence Act, 1872.",1977,http://lawcommissionofindia.nic.in/51-100/Report69.pdf
70,"The Transfer Of Property Act, 1882.",1977,http://lawcommissionofindia.nic.in/51-100/Report70.pdf
71,"The Hindu Marriage Act, 1955- Irretrievable Breakdown Of Marriage As A Ground Of Divorce.",1978,http://lawcommissionofindia.nic.in/51-100/Report71.pdf
72,"Restriction On Practice After Being A Permanent Judge, Article 220 Of The Constitution.",1978,http://lawcommissionofindia.nic.in/51-100/Report72.pdf
73,Criminal Liability For Failure By Husband To Pay Maintenance Or Permanent Alimony Granted To The Wife By The Court Under Certain Enactments Or Rules Of Law.,1978,http://lawcommissionofindia.nic.in/51-100/Report73.pdf
74,"Proposal To Amend The Indian Evidence Act, 1872 So As To Render Admissible Certain Statements Made By Witnesses Before Commission Of Inquiry And Other Statutory Authorities.",1978,http://lawcommissionofindia.nic.in/51-100/Report74.pdf
75,"Disciplinary Jurisdiction Under The Advocates Act, 1961.",1978,http://lawcommissionofindia.nic.in/51-100/Report75.pdf
76,"Arbitration Act, 1940.",1978,http://lawcommissionofindia.nic.in/51-100/Report76.pdf
77,Delay And Arrears In Trial Courts.,1979,http://lawcommissionofindia.nic.in/51-100/Report77.pdf
78,Congestion Of Under Trial Prisoners In Jails.,1979,http://lawcommissionofindia.nic.in/51-100/Report78.pdf
79,Delay And Arrears In High Courts And Other Appellate Courts.,1979,http://lawcommissionofindia.nic.in/51-100/Report79.pdf
80,Method Of Appointment Of Judges.,1979,http://lawcommissionofindia.nic.in/51-100/Report80.pdf
81,"Hindu Widows Re-Marriage Act, 1856.",1979,http://lawcommissionofindia.nic.in/51-100/Report81.pdf
82,"Effect Of Nomination Under Section 39, Insurance Act, 1938.",1980,http://lawcommissionofindia.nic.in/51-100/Report82.pdf
83,"The Guardians And Wards Act, 1890 And Certain Provisions Of The Hindu Minority And Guardianship Act, 1956.",1980,http://lawcommissionofindia.nic.in/51-100/Report83.pdf
84,"Rape And Allied Offences-Some Questions Of Substantive Law, Procedure And Evidence.",1980,http://lawcommissionofindia.nic.in/51-100/Report84.pdf
85,"Claims For Compensation Under Chapter 8 Of The Motor Vehicles Act, 1939.",1980,http://lawcommissionofindia.nic.in/51-100/Report85.pdf
86,"The Partition Act, 1893.",1980,http://lawcommissionofindia.nic.in/51-100/Report86.pdf
87,"Identification Of Prisoners Act, 1920.",1980,http://lawcommissionofindia.nic.in/51-100/Report87.pdf
88,"Governmental Privilege In Evidence: Sections 123-124 And 162, Indian Evidence Act, 1872 And Articles 74 And 163 Of The Constitution.",1983,http://lawcommissionofindia.nic.in/51-100/Report88.pdf
89,"The Limitation Act, 1963.",1983,http://lawcommissionofindia.nic.in/51-100/Report89.pdf
90,"The Grounds Of Divorce Amongst Christians In India: Section 10, Of The Indian Divorce Act, 1869.",1983,http://lawcommissionofindia.nic.in/51-100/Report90.pdf
91,"Dowry Deaths And Law Reform: Amending The Hindu Marriage Act, 1955, The Indian Penal Code, 1860 And The Indian Evidence Act, 1872.",1983,http://lawcommissionofindia.nic.in/51-100/Report91.pdf
92,Damages In Applications For Judicial Review Recommendations For Legislation.,1983,http://lawcommissionofindia.nic.in/51-100/Report92.pdf
93,Disclosure Of Sources Of Information By Mass Media.,1983,http://lawcommissionofindia.nic.in/51-100/Report93.pdf
94,"Evidence Obtained Illegally Or Improperly: Proposed Section 166a, Indian Evidence Act, 1872.",1983,http://lawcommissionofindia.nic.in/51-100/Report94.pdf
95,Constitutional Division Within The Supreme Court- A Proposal For.,1984,http://lawcommissionofindia.nic.in/51-100/Report95.pdf
96,Repeal Of Certain Obsolete Central Acts.,1984,http://lawcommissionofindia.nic.in/51-100/Report96.pdf
97,"Section 28, Indian Contract Act, 1872: Prescriptive Clauses In Contracts.",1984,http://lawcommissionofindia.nic.in/51-100/Report97.pdf
98,"Sections 24 To 26, Hindu Marriage Act, 1955: Orders For Interim Maintenance And Orders For The Maintenance Of Children In Matrimonial Proceedings.",1984,http://lawcommissionofindia.nic.in/51-100/Report98.pdf
99,Oral And Written Arguments In The Higher Courts.,1984,http://lawcommissionofindia.nic.in/51-100/Report99.pdf
100,Litigation By And Against The Government: Some Recommendations For Reform.,1984,http://lawcommissionofindia.nic.in/51-100/Report100.pdf
101,Freedom Of Speech And Expression Under Article 19 Of The Constitution: Recommendation To Extend It To Indian Corporations.,1984,http://lawcommissionofindia.nic.in/101-169/Report101.pdf
102,"Section 122(1) Of The Code Of Criminal Procedure, 1973: Imprisonment For Breach Of Bond For Keeping The Peace With Sureties.",1984,http://lawcommissionofindia.nic.in/101-169/Report102.pdf
103,Unfair Terms In Contract.,1984,http://lawcommissionofindia.nic.in/101-169/Report103.pdf
104,"The Judicial Officers' Protection Act, 1850.",1984,http://lawcommissionofindia.nic.in/101-169/Report104.pdf
105,Quality Control And Inspection Of Consumer Goods.,1984,http://lawcommissionofindia.nic.in/101-169/Report105.pdf
106,"Section 103a, Motor Vehicles Act, 1939: Effect Of Transfer Of A Motor Vehicle On Insurance.",1984,http://lawcommissionofindia.nic.in/101-169/Report106.pdf
107,Law Of Citizenship.,1984,http://lawcommissionofindia.nic.in/101-169/Report107.pdf
108,Promissory Estoppel.,1984,http://lawcommissionofindia.nic.in/101-169/Report108.pdf
109,"Obscene And Indecent Advertisements And Displays: Sections 292-293, Indian Penal Code.",1985,http://lawcommissionofindia.nic.in/101-169/Report109.pdf
110,"The Indian Succession Act, 1925.",1985,http://lawcommissionofindia.nic.in/101-169/Report110.pdf
111,"The Fatal Accidents Act, 1855.",1985,http://lawcommissionofindia.nic.in/101-169/Report111.pdf
112,"Section 45 Of The Insurance Act, 1938.",1985,http://lawcommissionofindia.nic.in/101-169/Report112.pdf
113,"Injuries In Police Custody- Suggested Section 114b, Evidence Act.",1985,http://lawcommissionofindia.nic.in/101-169/Report113.pdf
114,Gram Nyayalaya.,1986,http://lawcommissionofindia.nic.in/101-169/Report114.pdf
115,Tax Courts.,1986,http://lawcommissionofindia.nic.in/101-169/Report115.pdf
116,Formation Of An All India Judicial Service.,1986,http://lawcommissionofindia.nic.in/101-169/Report116.pdf
117,Training Of Judicial Officers.,1986,http://lawcommissionofindia.nic.in/101-169/Report117.pdf
118,Method Of Appointment To Subordinate Courts/ Subordinate Judiciary.,1986,http://lawcommissionofindia.nic.in/101-169/Report118.pdf
119,"Access To Exclusive Forum For Victims Of Motor Accidents Under Motor Vehicles Act, 1939.",1987,http://lawcommissionofindia.nic.in/101-169/Report119.pdf
120,Manpower Planning In Judiciary: A Blueprint,1987,http://lawcommissionofindia.nic.in/101-169/Report120.pdf
121,A New Forum For Judicial Appointments.,1987,http://lawcommissionofindia.nic.in/101-169/Report121.pdf
122,Forum For National Uniformity In Labour Adjudication.,1987,http://lawcommissionofindia.nic.in/101-169/Report122.pdf
123,Decentralisation Of Administration Of Justice:disputes Involving Centres Of Higher Education.,1988,http://lawcommissionofindia.nic.in/101-169/Report123.pdf
124,The High Court Arrears- A Fresh Look.,1988,http://lawcommissionofindia.nic.in/101-169/Report124.pdf
125,The Supreme Court- A Fresh Look.,1988,http://lawcommissionofindia.nic.in/101-169/Report125.pdf
126,Government And Public Sector Undertaking Litigation Policy And Strategies.,1988,http://lawcommissionofindia.nic.in/101-169/Report126.pdf
127,Resource Allocation For Infra-Structural Services In Judicial Administration (A Continuum Of The Report On Manpower Planning In Judiciary: A Blueprint).,NA,http://lawcommissionofindia.nic.in/101-169/Report127.pdf
128,Cost Of Litigation.,1988,http://lawcommissionofindia.nic.in/101-169/Report128.pdf
129,Urban Litigation – Mediation As Alternative To Adjudication.,1988,http://lawcommissionofindia.nic.in/101-169/Report129.pdf
130,Benami Transactions:a Continuum.,1988,http://lawcommissionofindia.nic.in/101-169/Report130.pdf
131,Role Of Legal Profession In Administration Of Justice.,1988,http://lawcommissionofindia.nic.in/101-169/Report131.pdf
132,"Need For Amendment Of The Provisions Of The Chapter Ix Of The Code Of Criminal Procedure, 1973 In Order To Ameliorate The Hardship And Mitigate The Distress Of Neglected Women, Children And Parents.",1989,http://lawcommissionofindia.nic.in/101-169/Report132.pdf
133,Removal Of Discrimination Against Women In Matters Relating To Guardianship And Custody Of Minor Children And Elaboration Of The Welfare Principle.,1989,http://lawcommissionofindia.nic.in/101-169/Report133.pdf
134,"Removing Deficiencies In Certain Provisions Of The Workmen's Compensation Act, 1923.",1989,http://lawcommissionofindia.nic.in/101-169/Report134.pdf
135,Women In Custody.,1989,http://lawcommissionofindia.nic.in/101-169/Report135.pdf
136,Conflicts In High Court Decisions On Central Laws- How To Foreclose And How To Resolve.,1990,http://lawcommissionofindia.nic.in/101-169/Report136.pdf
137,Need For Creating Office Of Ombudsman And For Evolving Legislative Administrative Measures Inter-Alia To Relieve Hardships Caused By Inordinate Delays In Settling Provident Fund Claims Of Beneficiaries.,1990,http://lawcommissionofindia.nic.in/101-169/Report137.pdf
138,Legislative Protection For Slum And Pavement Dwellers.,1990,http://lawcommissionofindia.nic.in/101-169/Report138.pdf
139,"Urgent Need To Amend Order Xxi, Rule 92(2), Code Of Civil Procedure To Remove An Anomaly Which Nullifies The Benevolent Intention Of The Legislature And Occasions Injustice To Judgement-Debtors Sought To Be Benefited.",1991,http://lawcommissionofindia.nic.in/101-169/Report139.pdf
