Report ID,Title,Year
1,Liability Of The State In Torts.,1956
2,Parliamentary Legislation Relating To Sales Tax.,1956
3,"Limitation Act, 1908",1956
4,On The Proposal That High Courts Should Sit In Benches At Different Places In A State.,1956
5,British Statutes Applicable To India.,1957
6,"Registration Act, 1908",1957
7,"Partnership Act, 1932",1957
8,"Sale Of Goods Act, 1930",1958
9,"Specific Relief Act, 1877",1958
10,Law Of Acquisition And Requisitioning Of Land.,1958
11,"Negotiable Instruments Act, 1881",1958
12,"Income Tax Act, 1922",1958
13,"Contract Act, 1872",1958
14,Reform Of Judicial Administration.,1958
15,Law Relating To Marriage And Divorce Amongst Christians In India.,1960
16,"Official Trustees Act, 1913.",1960
17,"Report On Trusts Act, 1882.",1961
18,"Converts’ Marriage Dissolution Act, 1866.",1961
19,"The Administrator-General's Act, 1913.",1961
20,The Law Of Hire-Purchase,1961
21,Marine Insurance,1961
22,"Christian Marriage And Matrimonial Causes Bill,1961",1961
23,Law Of Foreign Marriages.,1962
24,"The Commission Of Inquiry Act, 1952",1962
25,"Evidence Of Officers About Forged Stamps, Currency Notes, Etc. Section 509-A Cr.p.c. As Proposed.",1963
26,Insolvency Laws,1964
27,"The Code Of Civil Procedure, 1908.",1964
28,"The Indian Oaths Act, 1873.",1964
29,Proposal To Include Certain Social And Economic Offences In The Indian Penal Code,1966
30,"Section 5 Of The Central Sales Tax Act, 1956, Taxation By The States Of Sales In The Course Of Import.",1967
31,"Section 30(2) Of The Indian Registration Act, 1908-Extension To Delhi.",1967
32,"Section 9 Of The Code Of Criminal Procedure, 1898-Appointment Of Sessions Judges, Additional Session Judges And Assistant Sessions Judges.",1967
33,"Section 44, Code Of Criminal Procedure, 1898.",1967
34,"Indian Registration Act, 1908.",1967
35,Capital Punishment.,1967
36,"Sections 497, 498 And 499 Of The Code Of Criminal Procedure, 1898-Grant Of Bail With Condition.",1967
37,"The Code Of Criminal Procedure, 1898 (Sections 1 To 176).",1967
38,"Indian Post Office Act, 1898.",1968
39,Punishment Of Imprisonment For Life Under The Indian Penal Code.,1968
40,Law Relating To Attendance Of Prisoners In Courts.,1969
41,"The Code Of Criminal Procedure, 1898.",1969
42,Indian Penal Code.,1971
43,Offences Against The National Security.,1971
44,The Appellate Jurisdiction Of The Supreme Court In Civil Matters.,1971
45,Civil Appeals To The Supreme Court On A Certificate Of Fitness.,1971
46,"The Constitution (Twenty-Fifth Amendment) Bill,1971.",1971
47,The Trial And Punishment Of Social And Economic Offences.,1972
48,"Some Questions Under The Code Of Criminal Procedure Bill, 1970.",1972
49,"The Proposal For Inclusion Of Agricultural Income In The Total Income For The Purpose Of Determining The Rate Of Tax Under The Income-Tax Act, 1961.",1972
50,"The Proposal To Include Persons Connected With Public Examination Within The Definition Of ""Public Servant"" In The Indian Penal Code.",1972
51,Compensation For Injuries Caused By Automobiles In Hit-And-Run Cases.,1972
52,Estate Duty On Property Acquired After Death.,1972
53,"Effect Of The Pensions Act, 1871 On The Right To Sue For Pensions Of Retired Members Of The Public Services.",1972
54,"The Code Of Civil Procedure, 1908.",1973
55,"Rate Of Interest After Decree And Interest On Costs Under Sections 34 And 35, Of The Code Of Civil Procedure, 1908.",1973
56,"Statutory Provisions As To Notice Of Suit Other Than Section 80, Civil Procedure Code.",1973
57,Benami Transactions.,1973
58,Structure And Jurisdiction Of The Higher Judiciary.,1974
59,"Hindu Marriage Act, 1955 And Special Marriage Act, 1954.",1974
60,"The General Clauses Act, 1897.",1974
61,"Certain Problems Connected With Power Of The States To Levy A Tax On The Sale Of Goods And With The Central Sales Tax Act, 1956.",1974
62,"Workmen's Compensation Act, 1923.",1974
63,"The Interest Act, 1839.",1975
64,"The Suppression Of Immoral Traffic In Women And Girls Act, 1956.",1975
65,Recognition Of Foreign Divorces,1976
66,"Married Women's Property Act, 1874.",1976
67,"The Indian Stamp Act, 1899.",1977
68,"The Powers Of Attorney Act, 1882",1977
69,"The Indian Evidence Act, 1872.",1977
70,"The Transfer Of Property Act, 1882.",1977
71,"The Hindu Marriage Act, 1955- Irretrievable Breakdown Of Marriage As A Ground Of Divorce.",1978
72,"Restriction On Practice After Being A Permanent Judge, Article 220 Of The Constitution.",1978
73,Criminal Liability For Failure By Husband To Pay Maintenance Or Permanent Alimony Granted To The Wife By The Court Under Certain Enactments Or Rules Of Law.,1978
74,"Proposal To Amend The Indian Evidence Act, 1872 So As To Render Admissible Certain Statements Made By Witnesses Before Commission Of Inquiry And Other Statutory Authorities.",1978
75,"Disciplinary Jurisdiction Under The Advocates Act, 1961.",1978
76,"Arbitration Act, 1940.",1978
77,Delay And Arrears In Trial Courts.,1979
78,Congestion Of Under Trial Prisoners In Jails.,1979
79,Delay And Arrears In High Courts And Other Appellate Courts.,1979
80,Method Of Appointment Of Judges.,1979
81,"Hindu Widows Re-Marriage Act, 1856.",1979
82,"Effect Of Nomination Under Section 39, Insurance Act, 1938.",1980
83,"The Guardians And Wards Act, 1890 And Certain Provisions Of The Hindu Minority And Guardianship Act, 1956.",1980
84,"Rape And Allied Offences-Some Questions Of Substantive Law, Procedure And Evidence.",1980
85,"Claims For Compensation Under Chapter 8 Of The Motor Vehicles Act, 1939.",1980
86,"The Partition Act, 1893.",1980
87,"Identification Of Prisoners Act, 1920.",1980
88,"Governmental Privilege In Evidence: Sections 123-124 And 162, Indian Evidence Act, 1872 And Articles 74 And 163 Of The Constitution.",1983
89,"The Limitation Act, 1963.",1983
90,"The Grounds Of Divorce Amongst Christians In India: Section 10, Of The Indian Divorce Act, 1869.",1983
91,"Dowry Deaths And Law Reform: Amending The Hindu Marriage Act, 1955, The Indian Penal Code, 1860 And The Indian Evidence Act, 1872.",1983
92,Damages In Applications For Judicial Review Recommendations For Legislation.,1983
93,Disclosure Of Sources Of Information By Mass Media.,1983
94,"Evidence Obtained Illegally Or Improperly: Proposed Section 166a, Indian Evidence Act, 1872.",1983
95,Constitutional Division Within The Supreme Court- A Proposal For.,1984
96,Repeal Of Certain Obsolete Central Acts.,1984
